state,Abbreviation,full_coverage,minimum_coverage,Average
Michigan,MI,8723,5282,3441
Rhode Island,RI,3847,1589,2258
Louisiana,LA,3525,1329,2196
Kentucky,KY,3418,1338,2079
Florida,FL,3370,2565,805
Nevada,NV,3190,1295,1895
Colorado,CO,3164,1075,2089
New Jersey,NJ,3013,1182,1831
Washington D.C.,DC,2793,1260,1533
New York,NY,2752,1323,1429
Arizona,AZ,2699,980,1719
Oklahoma,OK,2659,742,1916
Connecticut,CT,2619,1192,1428
Georgia,GA,2619,1114,1505
Texas,TX,2594,890,1704
Missouri,MO,2584,874,1710
Utah,UT,2538,1105,1433
Montana,MT,2525,641,1884
Delaware,DE,2513,1316,1197
Maryland,MD,2431,1180,1251
South Dakota,SD,2338,420,1917
Illinois,IL,2313,878,1435
Minnesota,MN,2271,983,1289
Arkansas,AR,2213,677,1536
Mississippi,MS,2208,749,1459
Oregon,OR,2205,1136,1070
New Mexico,NM,2194,699,1495
Kansas,KS,2190,654,1535
West Virginia,WV,2131,685,1447
Wyoming,WY,2118,485,1632
Alabama,AL,2078,736,1342
Nebraska,NE,2038,599,1439
Pennsylvania,PA,2018,615,1403
South Carolina,SC,2013,854,1158
New Hampshire,NH,2004,643,1361
North Dakota,ND,1979,528,1451
Massachusetts,MA,1866,646,1219
Tennessee,TN,1821,577,1243
California,CA,1804,574,1230
Idaho,ID,1777,606,1171
Vermont,VT,1769,552,1217
Washington,WA,1691,706,985
Ohio,OH,1688,561,1127
Wisconsin,WI,1590,486,1104
Alaska,AK,1502,485,1016
Virginia,VA,1498,607,891
Indiana,IN,1489,498,991
Iowa,IA,1482,357,1124
North Carolina,NC,1434,542,892
Hawaii,HI,1340,475,865
Maine,ME,1268,489,779
